char_len,token_count_space,avg_token_len,hangul_char_count,english_char_count,digit_char_count,special_char_count,hangul_ratio,english_ratio,digit_ratio,special_ratio,has_hangul,has_english,has_digit,is_kor_eng_mixed,has_question_mark,has_exclamation_mark,has_tilde,has_ellipsis,has_chosung,chosung_count,has_laughter_kk,has_laughter_hh,count_kk,count_hh,has_repeated_char,max_repeated_char_len,repeated_char_count,morph_count,unique_morph_count,pos_type_count,noun_count,noun_ratio,verb_count,verb_ratio,adjective_count,adjective_ratio,adverb_count,adverb_ratio,interjection_count,interjection_ratio,josa_count,josa_ratio,eomi_count,eomi_ratio,is_word_like,is_phrase_like,is_sentence_like,is_question_like,is_exclamation_like,is_command_like,has_abbreviation_pattern,has_initialism_pattern,has_meme_template_pattern,has_quote_like_pattern,syllable_count,avg_syllable_per_token,same_syllable_repeat_count,max_same_syllable_repeat_len,initial_consonant_repeat_score,vowel_repeat_score,final_consonant_ratio,no_final_consonant_ratio,rhythm_score,pronunciation_simplicity_score
2,1,2.0,2,0,0,0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,2,2.0,0,0,0.0,0.0,0.5,0.5,0.16666666666666669,0.65
6,2,2.5,5,0,0,0,0.8333333333333334,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,5,2.5,0,0,0.0,0.0,0.6,0.4,0.08333333333333333,0.45
10,3,2.6666666666666665,8,0,0,0,0.8,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,6,2,0.2857142857142857,0,0.0,1,0.14285714285714285,0,0.0,0,0.0,1,0.14285714285714285,2,0.2857142857142857,0,1,0,0,0,0,0,0,0,0,8,2.6666666666666665,0,0,0.2857142857142857,0.14285714285714285,0.625,0.375,0.1822479901840102,0.2875
4,2,1.5,3,0,0,0,0.75,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0.0,1,0.3333333333333333,0,0.0,1,0.3333333333333333,0,0.0,0,0.0,1,0.3333333333333333,0,1,0,0,0,0,0,0,0,0,3,1.5,0,0,0.0,0.0,0.3333333333333333,0.6666666666666667,0.11666666666666667,0.6833333333333333
3,1,3.0,3,0,0,0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,3,3.0,0,0,0.0,0.5,0.3333333333333333,0.6666666666666667,0.25,0.6833333333333333
5,1,5.0,5,0,0,0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,5,5.0,0,0,0.0,0.5,0.2,0.8,0.21666666666666667,0.65
13,3,3.6666666666666665,11,0,0,0,0.8461538461538461,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,3,0.75,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.25,0,1,0,1,0,0,0,0,0,0,11,3.6666666666666665,0,0,0.1,0.1,0.0,1.0,0.10147186257614298,0.5
13,4,2.5,10,0,0,0,0.7692307692307693,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0.0,2,0.25,0,0.0,1,0.125,0,0.0,1,0.125,3,0.375,0,1,0,0,0,0,0,0,0,0,10,2.5,0,0,0.0,0.1111111111111111,0.4,0.6,0.06943581772218016,0.3
14,4,2.75,9,0,2,0,0.6428571428571429,0.0,0.14285714285714285,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,8,8,7,1,0.125,2,0.25,0,0.0,0,0.0,0,0.0,2,0.25,2,0.25,0,1,0,0,0,0,0,0,0,0,9,2.25,0,0,0.0,0.0,0.3333333333333333,0.6666666666666667,0.06978305207480379,0.38333333333333336
2,1,2.0,2,0,0,0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,2,2.0,0,0,0.0,0.0,0.5,0.5,0.16666666666666669,0.65
3,1,3.0,3,0,0,0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,3,3.0,0,0,0.0,0.0,1.0,0.0,0.15000000000000002,0.35
11,2,5.0,9,0,0,1,0.8181818181818182,0.0,0.0,0.09090909090909091,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,3,0.75,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,1,0,0,0,0,0,0,9,4.5,0,0,0.125,0.25,0.0,1.0,0.1375,0.55
22,7,2.2857142857142856,14,0,2,0,0.6363636363636364,0.0,0.09090909090909091,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,15,15,13,2,0.13333333333333333,2,0.13333333333333333,0,0.0,2,0.13333333333333333,0,0.0,1,0.06666666666666667,5,0.3333333333333333,0,0,1,0,0,0,0,0,0,0,14,2.0,0,0,0.07692307692307693,0.3076923076923077,0.5714285714285714,0.4285714285714286,0.13387264649857963,0.2142857142857143
3,1,3.0,3,0,0,0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,2,2,1,0.5,0,0.0,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,3,3.0,1,2,0.5,0.5,0.3333333333333333,0.6666666666666667,0.7,0.6833333333333333
3,1,3.0,3,0,0,0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,2,2,0,0.0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,3,3.0,1,2,0.5,1.0,0.3333333333333333,0.6666666666666667,0.7999999999999999,0.6833333333333333
4,1,4.0,4,0,0,0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,4,4.0,0,0,0.0,0.0,0.5,0.5,0.13333333333333333,0.55
15,4,3.0,12,0,0,0,0.8,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7,2,0.25,0,0.0,0,0.0,2,0.25,0,0.0,0,0.0,2,0.25,0,1,0,0,0,0,0,0,0,0,12,3.0,0,0,0.0,0.18181818181818182,0.3333333333333333,0.6666666666666667,0.08636363636363636,0.33333333333333337
60,15,3.066666666666667,42,0,2,2,0.7,0.0,0.03333333333333333,0.03333333333333333,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,27,24,16,10,0.37037037037037035,2,0.07407407407407407,0,0.0,4,0.14814814814814814,0,0.0,1,0.037037037037037035,5,0.18518518518518517,0,0,1,0,0,0,0,0,0,0,42,2.8,1,2,0.17073170731707318,0.12195121951219512,0.5476190476190477,0.45238095238095233,0.4240947966411417,0.22619047619047616
4,1,4.0,3,0,0,1,0.75,0.0,0.0,0.25,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,3,3,2,0,0.0,0,0.0,0,0.0,0,0.0,2,0.6666666666666666,0,0.0,0,0.0,1,0,0,0,1,0,0,0,0,0,3,3.0,1,2,0.5,0.5,0.0,1.0,0.7,0.85
2,1,2.0,2,0,0,0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,2,2.0,0,0,0.0,0.0,0.5,0.5,0.16666666666666669,0.65
5,1,5.0,5,0,0,0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,1,0.2,1,0.2,0,0.0,0,0.0,0,0.0,0,0.0,3,0.6,1,0,0,0,0,0,0,0,0,0,5,5.0,0,0,0.75,0.0,0.4,0.6,0.3416666666666667,0.55
5,1,5.0,5,0,0,0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,1,0.2,1,0.2,0,0.0,0,0.0,0,0.0,0,0.0,3,0.6,1,0,0,0,0,0,0,0,0,0,5,5.0,0,0,0.75,0.0,0.4,0.6,0.3416666666666667,0.55
18,5,2.8,10,0,2,2,0.5555555555555556,0.0,0.1111111111111111,0.1111111111111111,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,1,11,8,8,2,0.18181818181818182,2,0.18181818181818182,0,0.0,0,0.0,0,0.0,0,0.0,4,0.36363636363636365,0,1,0,0,1,0,0,0,0,0,10,2.0,0,0,0.2222222222222222,0.0,0.3,0.7,0.11283066082473892,0.35
12,3,3.3333333333333335,9,0,0,1,0.75,0.0,0.0,0.08333333333333333,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,9,9,2,0.2,1,0.1,0,0.0,0,0.0,0,0.0,0,0.0,4,0.4,0,1,0,1,0,0,0,0,0,0,9,3.0,0,0,0.125,0.125,0.5555555555555556,0.4444444444444444,0.11397186257614297,0.2722222222222222
4,1,4.0,4,0,0,0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,4,4.0,0,0,0.0,0.3333333333333333,0.75,0.25,0.2,0.425
2,1,2.0,1,0,0,1,0.5,0.0,0.0,0.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0,0,0,1,0,0,0,0,0,1,1.0,0,0,0.0,0.0,1.0,0.0,0.18333333333333335,0.45
1,1,1.0,1,0,0,0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,1,1.0,0,0,0.0,0.0,1.0,0.0,0.18333333333333335,0.45
11,3,3.0,7,0,0,2,0.6363636363636364,0.0,0.0,0.18181818181818182,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,6,5,3,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,0,1,0,0,0,0,0,7,2.3333333333333335,0,0,0.16666666666666666,0.3333333333333333,0.2857142857142857,0.7142857142857143,0.17171769238834886,0.5071428571428571
3,1,3.0,3,0,0,0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,1,0.3333333333333333,1,0.3333333333333333,0,0.0,0,0.0,0,0.0,0,0.0,1,0.3333333333333333,1,0,0,0,0,0,0,0,0,0,3,3.0,0,0,0.5,0.0,0.6666666666666666,0.33333333333333337,0.30000000000000004,0.5166666666666666
17,4,3.5,10,0,2,2,0.5882352941176471,0.0,0.11764705882352941,0.11764705882352941,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,12,12,9,2,0.16666666666666666,2,0.16666666666666666,0,0.0,0,0.0,0,0.0,3,0.25,2,0.16666666666666666,0,1,0,0,0,0,0,0,0,0,10,2.5,0,0,0.0,0.1111111111111111,0.4,0.6,0.062222222222222234,0.3
13,6,1.3333333333333333,8,0,0,0,0.6153846153846154,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,4,5,0.625,1,0.125,0,0.0,0,0.0,0,0.0,1,0.125,1,0.125,0,0,1,0,0,0,0,0,0,0,8,1.3333333333333333,1,4,0.5714285714285714,0.42857142857142855,1.0,0.0,0.6144377588303729,0.09999999999999998
40,12,2.4166666666666665,29,0,0,0,0.725,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,26,15,10,0.3448275862068966,2,0.06896551724137931,1,0.034482758620689655,0,0.0,0,0.0,6,0.20689655172413793,7,0.2413793103448276,0,0,1,0,0,0,0,0,0,0,29,2.4166666666666665,0,0,0.07142857142857142,0.10714285714285714,0.4827586206896552,0.5172413793103448,0.09656264233426934,0.2586206896551724
9,5,1.0,5,0,0,0,0.5555555555555556,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,6,4,0.5714285714285714,0,0.0,0,0.0,0,0.0,0,0.0,2,0.2857142857142857,0,0.0,0,1,0,0,0,0,0,0,0,0,5,1.0,0,0,0.25,0.25,0.8,0.19999999999999996,0.24166666666666667,0.35
15,5,2.2,11,0,0,0,0.7333333333333333,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7,3,0.375,1,0.125,1,0.125,0,0.0,0,0.0,1,0.125,2,0.25,0,1,0,0,0,0,0,0,0,0,11,2.2,0,0,0.2,0.1,0.36363636363636365,0.6363636363636364,0.15142857142857144,0.3181818181818182
3,1,3.0,3,0,0,0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,3,3.0,0,0,0.0,0.0,0.3333333333333333,0.6666666666666667,0.15000000000000002,0.6833333333333333
6,2,2.5,5,0,0,0,0.8333333333333334,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,1,0.2,2,0.4,0,0.0,0,0.0,0,0.0,0,0.0,2,0.4,0,1,0,0,0,0,0,0,0,0,5,2.5,0,0,0.0,0.0,0.4,0.6,0.08333333333333333,0.55
106,19,4.631578947368421,83,0,0,2,0.7830188679245284,0.0,0.0,0.018867924528301886,1,0,0,0,1,0,0,0,1,3,1,0,3,0,1,2,1,66,46,22,20,0.30303030303030304,6,0.09090909090909091,2,0.030303030303030304,2,0.030303030303030304,1,0.015151515151515152,9,0.13636363636363635,13,0.19696969696969696,0,0,1,0,0,0,1,0,0,0,83,4.368421052631579,0,0,0.14634146341463414,0.10975609756097561,0.4819277108433735,0.5180722891566265,0.09260697696202828,0.25903614457831325
6,2,2.5,5,0,0,0,0.8333333333333334,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,1,0.25,1,0.25,0,0.0,0,0.0,0,0.0,0,0.0,2,0.5,0,1,0,0,0,0,0,0,0,0,5,2.5,0,0,0.25,0.0,0.8,0.19999999999999996,0.15833333333333333,0.35
3,1,3.0,3,0,0,0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,3,3.0,0,0,0.0,0.5,0.0,1.0,0.25,0.85
10,2,4.5,9,0,0,0,0.9,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,2,0.3333333333333333,0,0.0,0,0.0,0,0.0,0,0.0,2,0.3333333333333333,1,0.16666666666666666,0,1,0,0,0,0,0,0,0,0,9,4.5,0,0,0.0,0.125,0.4444444444444444,0.5555555555555556,0.09166666666666667,0.3277777777777778
8,2,3.5,5,0,2,0,0.625,0.0,0.25,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,4,4,4,1,0.25,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.25,0,1,0,0,0,0,0,0,0,0,5,2.5,0,0,0.0,0.0,0.2,0.8,0.08333333333333333,0.65
9,2,4.0,8,0,0,0,0.8888888888888888,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,6,2,2,1,0.16666666666666666,0,0.0,0,0.0,5,0.8333333333333334,0,0.0,0,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,8,4.0,1,5,0.5714285714285714,0.7142857142857143,0.875,0.125,0.6642857142857144,0.16249999999999998
9,2,4.0,0,8,0,0,0.0,0.8888888888888888,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,2,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,1.0,0.05,1.0
17,4,3.5,14,0,0,0,0.8235294117647058,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,7,3,0.375,1,0.125,0,0.0,1,0.125,0,0.0,2,0.25,1,0.125,0,1,0,0,0,0,0,0,0,0,14,3.5,0,0,0.0,0.15384615384615385,0.21428571428571427,0.7857142857142857,0.06838708192224219,0.39285714285714285
49,9,4.555555555555555,41,0,0,0,0.8367346938775511,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,6,7,0.5833333333333334,2,0.16666666666666666,0,0.0,0,0.0,0,0.0,1,0.08333333333333333,2,0.16666666666666666,0,0,1,0,0,0,0,0,0,0,41,4.555555555555555,0,0,0.075,0.05,0.3902439024390244,0.6097560975609756,0.06266827192747788,0.3048780487804878
3,1,3.0,3,0,0,0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,3,3.0,0,0,0.0,0.0,0.3333333333333333,0.6666666666666667,0.15000000000000002,0.6833333333333333
8,2,3.5,7,0,0,0,0.875,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,1,0.25,1,0.25,0,0.0,0,0.0,0,0.0,1,0.25,1,0.25,0,1,0,0,0,0,0,0,0,0,7,3.5,0,0,0.0,0.16666666666666666,0.42857142857142855,0.5714285714285714,0.1,0.4357142857142857
5,1,5.0,5,0,0,0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,5,5.0,0,0,0.25,0.0,0.0,1.0,0.19166666666666665,0.75
10,2,4.5,9,0,0,0,0.9,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,7,6,6,3,0.42857142857142855,0,0.0,0,0.0,0,0.0,0,0.0,2,0.2857142857142857,1,0.14285714285714285,0,1,0,0,0,0,0,0,0,0,9,4.5,2,2,0.625,0.375,0.4444444444444444,0.5555555555555556,0.9291666666666667,0.3277777777777778
23,5,3.8,10,0,0,9,0.43478260869565216,0.0,0.0,0.391304347826087,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,3,13,12,11,2,0.15384615384615385,1,0.07692307692307693,0,0.0,1,0.07692307692307693,1,0.07692307692307693,1,0.07692307692307693,2,0.15384615384615385,0,1,0,0,0,0,0,0,0,0,10,2.0,0,0,0.0,0.2222222222222222,0.7,0.30000000000000004,0.08120286553671614,0.15000000000000002
8,2,3.5,6,0,0,1,0.75,0.0,0.0,0.125,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,2,0.3333333333333333,0,0.0,0,0.0,0,0.0,0,0.0,1,0.16666666666666666,1,0.16666666666666666,0,1,0,1,0,0,0,0,0,0,6,3.0,0,0,0.2,0.2,0.5,0.5,0.14,0.45
24,7,2.5714285714285716,18,0,0,0,0.75,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,7,6,0.46153846153846156,0,0.0,0,0.0,1,0.07692307692307693,0,0.0,2,0.15384615384615385,2,0.15384615384615385,0,0,1,0,0,0,0,0,0,0,18,2.5714285714285716,0,0,0.17647058823529413,0.17647058823529413,0.4444444444444444,0.5555555555555556,0.1282625389896317,0.2777777777777778
22,6,2.8333333333333335,16,0,1,0,0.7272727272727273,0.0,0.045454545454545456,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,7,5,0.5,1,0.1,0,0.0,0,0.0,0,0.0,2,0.2,1,0.1,0,0,1,0,0,0,0,0,0,0,16,2.6666666666666665,0,0,0.06666666666666667,0.2,0.25,0.75,0.11927034866470547,0.375
6,1,6.0,6,0,0,0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,6,6.0,0,0,0.0,0.2,0.16666666666666666,0.8333333333333334,0.14,0.6166666666666667
2,1,2.0,2,0,0,0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,2,2.0,0,0,0.0,0.0,0.5,0.5,0.16666666666666669,0.65
4,1,4.0,2,0,2,0,0.5,0.0,0.5,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,4,4,4,0,0.0,1,0.25,0,0.0,0,0.0,0,0.0,0,0.0,1,0.25,1,0,0,0,0,0,0,0,0,0,2,2.0,0,0,0.0,0.0,0.0,1.0,0.16666666666666669,0.9
3,1,3.0,3,0,0,0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,1,0.3333333333333333,1,0.3333333333333333,0,0.0,0,0.0,0,0.0,0,0.0,1,0.3333333333333333,1,0,0,0,0,0,0,0,0,0,3,3.0,0,0,0.0,0.0,0.0,1.0,0.15000000000000002,0.85
