text,label,observed_months,year,month
00처럼 달러왔습니다,1,12,2024,5
멋지다 연진아,0,12,2023,7
뉴진스의 하입보이요,0,12,2023,11
우리 엄마엄마가,0,12,2023,4
마따끄,0,12,2023,5
나문희의 첫사랑,0,12,2023,7
나이트 댄서,0,12,2023,6
고도로 발달한 00는 00와 구분할 수 없다,0,12,2023,9
문단속,1,12,2023,4
뽀삐뽀삐뽀 뽀삐뽀,0,12,2023,2
해피캣,0,12,2023,6
이궈궈던,1,12,2023,4
아디아디아디,0,12,2023,4
강풍 올백,0,12,2023,6
00한 건에 대하여,0,12,2023,7
너 T야?,0,12,2023,7
크아아악! 00아!,0,12,2023,11
아오 페리시치,0,12,2023,8
좋았어 영차,0,12,2023,4
LK-99,1,12,2023,2
초전도체,1,12,2023,9
인생 하드모드,0,12,2023,4
어 맞아맞아 놀랍지만 그건 사실이야,0,12,2023,9
피어나 너 내 도도독,0,12,2023,3
워싱시,1,12,2023,12
슬릭백,1,12,2023,9
I am신뢰에요,0,12,2023,12
I am 00에요,1,12,2023,6
똑똑한 청년,1,12,2023,6
장충동왕족발보쌈,1,12,2023,4
럼자오자레,0,12,2023,4
당근칼,0,12,2023,7
기습숭배,1,12,2023,7
나 00인데 개추 눌렀다,0,12,2023,8
00에서 연락옴,0,12,2023,1
치피치피 차파차파,0,12,2023,10
전두광,1,12,2023,5
00햄,1,12,2023,8
근데 이제 뭐함?,0,12,2023,9
강해린 이상하다,0,12,2023,12
하입보이요,0,12,2023,4
나 지금 되게 신나,0,12,2023,12
네 덕분이야 연진아,0,12,2023,3
"멋지다, 연진아!",0,12,2023,12
알아들었으면 끄덕여,0,12,2023,6
오늘부터 내 꿈은 너야,0,12,2023,9
이사라가 니 남친이야?,0,12,2023,11
차 타고요,0,12,2023,5
00 비상 00따운 00나와,0,12,2023,7
00 따운,1,12,2023,1
대00,1,12,2023,6
새삼 00가 대단하다고 느껴지네,0,12,2023,4
00은 00에게 지지 않습니다,0,12,2023,3
맑눈광,1,12,2023,7
맑은 눈의 광인,1,12,2023,11
그 이왕이면 혁명이란 멋진 단어를 쓰십시오,0,12,2023,3
세상은 그대로야,0,12,2023,3
실패하면 반역 성공하면 혁명,0,12,2023,3
오늘 밤은 여기가 최전방이야,0,12,2023,10
너 하나회야,0,12,2023,4
내가 니들 상관의 상관이야,0,12,2023,6
우이빔,0,12,2023,9
왼손은 거들 뿐,0,12,2023,12
이거 보세요오,1,12,2023,11
바부바부바부바부,0,12,2023,8
저쪽 집이 무너졌다고 해서 구경하러 갔죠,0,12,2023,7
홍박사님을 아세요,0,12,2023,10
그 긴거,1,12,2023,6
꽃 향기만 남기고 갔단다,0,12,2023,6
나거한,0,12,2023,2
너 내 도도독,0,12,2023,12
넘어갈게요,0,12,2023,9
놀라울 만큼 그 누구도 관심을 주지 않았다.,0,12,2023,9
당신도 나락에 갈 수 있다.,0,12,2023,8
빵빵아 옥지얌,0,12,2023,11
사실 어그로 맞음,0,12,2023,11
00이 맛있고 00이 친절해요,0,12,2023,12
순살아파트,0,12,2023,8
아아 공습경보,0,12,2023,8
지평좌표계,0,12,2023,3
에헤이 조졌네 이거,0,12,2023,5
원종단,0,12,2023,6
이건 마지막 경고요,0,12,2023,10
이게 노터치야,0,12,2023,6
딸깍,1,12,2023,7
이제는 더 이상 물러날 곳이 없다,0,12,2023,4
인터넷 야메로,0,12,2023,5
기습시위,0,12,2023,12
잼버리,0,12,2023,7
"제기랄, 또 00야",1,12,2023,2
취재가 시작되자,0,12,2023,3
폼 미쳤다,1,12,2023,9
할 말이 없네,1,12,2023,5
휘슬,0,12,2023,2
WWE,0,12,2023,11
00는 이 일을 기억할 것입니다.,0,12,2023,4
00의 봄,0,12,2023,11
00가 되어줘,0,12,2023,6
말아주다,1,12,2023,5
할매니얼,0,12,2021,4
비질게,0,12,2023,4
넵병,0,12,2023,6
증발물,0,12,2022,4
억텐,1,12,2021,4
00해주면 조켄네,0,12,2024,8
그런 날 있잖아,0,12,2023,7
달란트,0,12,2023,12
왕위계승,1,12,2022,10
운있풍있,0,12,2024,11
네카라쿠배,1,12,2021,4
드래용,0,12,2024,1
미라클 모닝,1,12,2025,3
고능하다,0,12,2024,3
너무 무서워,0,12,2025,2
먹BREAD,0,12,2023,2
쌈@뽕하다,1,12,2024,3
스껄,1,12,2022,9
월루,1,12,2021,7
나 안아,1,12,2024,10
박이박이차돌박이 신기방기뽕뽕방기,0,12,2022,1
반모,0,12,2021,3
휀걸,0,12,2023,12
문제가 될까요?,0,12,2024,7
돈쭐,1,12,2021,5
잼얘,1,12,2023,6
츄베릅,1,12,2023,10
00 감성 모르면 나가,1,12,2024,3
아할,1,12,2023,4
크보,1,12,2025,3
선학개미,0,12,2022,3
꾸안꾸,1,12,2021,12
어머님 00가 너무 잘해요,0,12,2024,8
외계인 침공 시 00한 사람이 먼저 잡아먹힌다.,1,12,2024,6
블챌,1,12,2022,6
환승연애 이딴 거 안 나왔어,0,12,2023,12
자강두천,1,12,2021,6
사랑핵,0,12,2023,6
킵고잉,1,12,2024,3
웃수저,1,12,2022,2
술의눈 백 개 마셨다,0,12,2023,10
중꺾마,1,12,2022,12
느좋,1,12,2024,8
목젖 6부 능선,0,12,2023,2
깔끼하네,1,12,2024,1
사건이다,0,12,2024,3
근데! 하지만! 그러나! But! However! Nevertheless!,0,12,2022,8
00하는 나 제법 젠틀해요,0,12,2021,7
힝구리퐁퐁,0,12,2022,4
웃안웃,0,12,2022,1
쪄죽따,0,12,2022,7
ㄴㅇㄱ,1,12,2021,5
나만의 블랙스완,0,12,2024,8
하이브리드 고백,0,12,2023,10
기분이다,0,12,2024,4
황밸,1,12,2022,5
개구리화 현상,0,12,2023,6
식물확대범,0,12,2022,4
하남자,1,12,2022,7
라할살,0,12,2021,4
전업자녀,1,12,2023,8
가슴에 국밥 쏟음,0,12,2024,11
민초단,1,12,2021,4
돔황차,1,12,2021,6
질누하,0,12,2023,6
빌려온 고양이 같이,0,12,2025,1
도달가능미,0,12,2024,5
용두사망,0,12,2022,12
맵치광이,0,12,2022,12
깐부,1,12,2021,9
푸데푸데,0,12,2024,12
나잇값 하라구요? 싫어용.,0,12,2025,3
다들 00 하길래,0,12,2024,3
식집사,1,12,2022,3
솜넣이 필요해,0,12,2023,1
런치플레이션,0,12,2022,6
무물,1,12,2021,4
처돌이,1,12,2021,7
웅니웅빠,0,12,2022,4
야수의 심장,1,12,2021,5
추구미,1,12,2023,5
듀아아아,0,12,2025,1
반박 시 니 말이 맞음,1,12,2021,9
읏쇼 읏쇼,0,12,2024,12
너 뭐 돼?,1,12,2022,3
엥 감전당했나,0,12,2023,9
점메추,1,12,2021,4
복복복,0,12,2023,5
갓생,1,12,2021,7
밈첩하다,1,12,2023,1
떨렌다,1,12,2023,8
카우룽 카우룽,0,12,2024,11
촌캉스,1,12,2023,3
차카니 몇 개를 먹은 거람,0,12,2024,9
닝바닝,0,12,2022,12
빵빠레 불면서 시작,0,12,2023,10
공능제,0,12,2021,4
분좋카,0,12,2022,9
"이건안, 이지에",0,12,2023,12
진순파,0,12,2022,10
그르륵 갉,0,12,2023,8
엉엉슨,0,12,2024,11
행집욕부,0,12,2024,7
우내할,0,12,2023,3
북부대공,0,12,2025,3
쫌쫌따리,0,12,2021,7
꾸웨액,0,12,2023,1
업토버,0,12,2021,10
디지털 페지 줍기,0,12,2022,9
헉스베리,0,12,2023,7
거지발싸개요일,0,12,2022,5
어서오고,1,12,2021,5
순욱당했네,0,12,2019,4
쉽지 않음,1,12,2020,7
이걸 실시간으로 보다니,0,12,2018,8
라는 내용의 애니 없냐,1,12,2018,9
